Location,Address,Appointment Button,Services ,Recommendation
Central Jersey Legal Services,Looks fine,Looks fine,Looks fine,
Elijah's Promise,Looks fine,Can we make this a popup with a phone number/email?,RW is a specific program and it's not even listed on their webpage,Build RW information template including how to make appointment/who to ask for
Eric B. Chandler Health Center,Looks fine,Goes no where- Can we make this a popup with a phone number/email?,Looks fine,
Hyacinth,Looks fine,Looks fine,Looks fine,
Legal Services of Northwest Jersey Hunterdon,Looks fine,Goes no where- Can we make this a popup with a phone number/email?,,Build RW information template including how to make appointment/who to ask for
Legal Services of Northwest Jersey Somerset,Looks fine,Takes you to a space to report a technical assistance problem,Looks fine,Find the correct link
MCAT,Looks fine,Goes no where- Can we make this a popup with a phone number/email?,Takes you to the county home page,Build RW information template including how to make appointment/who to ask for
NBCC,Looks fine,Looks fine,Looks fine,
Raritan Bay ,Looks fine,Goes no where- Can we make this a popup with a phone number/email?,??? Doesn't list RW services/outpatient services,Build RW information template including how to make appointment/who to ask for
RWJ Medical School,Looks fine,Same as Services,Same as Appointment,Build RW information template including how to make appointment/who to ask for
Somerset Treatment Services,Looks fine,Looks fine,Looks fine,
VNAHG,Looks fine,Goes to a page that should be the services page,Is a completely different website,Build RW information template including how to make appointment/who to ask for
Zufall,Looks fine,Looks fine,Looks fine,
Zufall mobile unit,Concerned about the address,Takes you to an events page that is mostly for covid,Looks fine,Build RW information template including how to make appointment/who to ask for
,,,,
Counseling and Testing,,Need ICONS for walk ins or if appointments are required OR needs to be organized that way on the page,,
CVS,I wonder if we should just say multiple locations instead of a single address?  ,Perfect,Looks fine,
Planned Parenthood (all),Looks fine,Looks fine,Looks fine,
Raritan Bay,Looks fine,Same issues as before,same issuse as before,
Woodbridge Health Department,Looks fine,Takes you to the Woodbridge city homepage,takes you to a services and forms page,"Confirm they still do testing, if yes, build template, if no, delete agency"
Zufall,Looks fine,Is testing by appointment only or do they take walk ins?,,
,,,,
PrEP and Prevention,,,,
RWJ,Looks fine,Same as above ,Same as above,Need to separate dental program; they are in the same location but they are actually two different organizations entirely